x1lliihq 4,x1lliihq 11,x1lliihq 12,x1lliihq 13
"Kepada hijab terbuka (bukan free hair) yang suka travel oversea, apa rupa hantu hantu luar Malaysia ek? Nak tahu, ada jugak ka geng gula-gula, cik Lang, cik Pon semua tu?",,,
Guys. Actually Bahasa Malaysia kadang2 efisien jugak ye.,Contoh:,,The Day After Tomorrow: Lusa
"Prasarana Malaysia Berhad 
Smart Selangor MPAJ 
RAPID 460
Higer KLQ6129G",Ampang Jaya AJ03 (LRT Cempaka - Taman Bukit Teratai),,
"Nikmat terbesar dalam hidup aku.
1. Lahir Islam
2. Lahir dkt Malaysia",,,
Apa yang bumi Malaysia perlukan saat ini,Panas gila,,
Just saw a thread that said “Najib dulu lagi sweet. Gadaikan Malaysia utk Kak Mah” 😭😂😭😂😭 i kenot with threads people hahahahaha,,,
Korang yang GenZ lepas graduate teringin nak kerja under company mana jika ada tawaran ?,"1. Sunway Berhad
2. Sime Darby Berhad
3. IOI Properties Group Berhad
4. Petroliam Nasional Berhad (PETRONAS)
5. Public Bank Berhad 
6. Berjaya Corporation Berhad
7. DRB-HICOM Berhad
8. Gamuda Berhad
9. Genting Berhad
10. Malaysia Aviation Group Berhad
11. AirAsia Berhad
12. Batik Air Malaysia",Career Advice,
"so far elaun internship paling masyuk kt Malaysia ni is BNM kot, ke ada lagi eh? kot korang boleh share",,,
"Wahai staf watson seluruh Malaysia, boleh tak kalau tak menekan2 suruh amik beg hitam lembik ni, atleast ade 1 barang dalam tangan barula boleh bg beg ni, ini belum tentu nak beli brg klu tgn masih kosong, bila dah bg xpasal2 pulak nk kena gi cari tempat letak beg ni pulak bila xde brg yg dicari. Bila tak nak beg ni buat muka pulak tu...rase cam semak pulak tgn kosong tibe2 kena jinjing beg ni...huh",,watsons,
"Malaysian Armed Forces canine snuggles its handler during the 2025 National Day Parade in Putrajaya, Malaysia.",,,
Internally all Muslim in Malaysia —>>> 🔥🔥🔥,,Malaysia Threads,
EHH SUMPAHHLAAA BTS CANCEL DATANG MALAYSIA???? AKU BARU KELUAR DARI GUA KE APAAA NII LOL😭😭😭,,BTS,
"Born & grow up in Sabah. And here I am now in Malaysia, enjoying",,,
"Nak beza cina malaysia dengan cina mainland senang jer, tengok time dia marah. 
Kalau dia mencarut 3 bahasa, meaning dia cina kita. 
Kalau dia sekadar cingcong cingcong xexe meaning cina sana.",,,
Habislah satu dunia global dah discover Malaysia. 2030 nanti confirm tourism sector and f&b business meletus 🌋,,,
"Went to jeju island once, there was one uncle shouting cheerfully at me ""woi malaysia, kau melayu mana? Aku cina cheras!""",,,
Aku kena jujur dengan kau malam ni.,"Kalau kau nak tahu tentang konflik sebenar Palestine,  jangan follow aku.",,Tapi follow 3 orang Malaysia ni.
Tahukah anda masa di semenanjung Malaysia adalah 'salah'?,"Kalau diikutkan longitud Kuala Lumpur dengan Riau adalah lebih kurang sama. Tapi ketika Kuala Lumpur pukul 6 pm, masa di Riau adalah pukul 5 pm.",Semenanjung Malaysia,
"Kepada shopping mall yang toiletnya takde bidet,","Tolong lah sedar,
Kita Malaysia..
Bukan Amerika.",,"Kita ada PMX.
Bukan Trump."
"Kiri, 5 bulan lalu.
Kanan, hari ini.",Satu kebahagiaan buat rakyat Malaysia yang ingin ke Indonesia. Orang Indonesia yang bekerja di Malaysia pun pasti tidak kurang bahagianya.,,
Tadi ternampak Aiman Hakim Reza ngan wife dia Zahirah n anak dorg makan kat Citta Mall. Aku terjeling si Aiman sbb dia pandang aku randomly 😭😂 aku jeling sbb rasa cm kenal tpi tknk nmpak obvious tpi terjeling bitchyly.,Teringat yg thread pasal artis sombong tu. Ada sebab tuhan tak jadikan aku artis bhahahaha kalau tak tk sampai sehari kene bann kt Malaysia.,,
"dalam semua tagline ni aku suka tagline ‘1 Malaysia’ despite Najib being Najib himself,aku takleh tipu diri aku dari mengatakan its a catchy phrase untuk satukan rakyat Malaysia",kredit artwork:,,
"My only flex as a foreigner in Malaysia 🇲🇾 
I know Negaraku inside out. 
It was engraved into me during morning assembly 💪",,,
Meme Malaysia always keep my stress disappear everytime I'll have bad day..,,Air Asia Flight,
Tak sangka jadi jugak kat MALAYSIA 💃🏻,,,
Guys. Cina Singapore memang pandang rendah dekat orang Melayu malaysia and melayu singapore ke?,,,
Malaysia punya passport punya lah kuat. While aku nak lalu Bulgaria kene tahan kt border. Dia ckp tak pernah nampak passport mcm ni masuk Bulgaria. Acik dia!,,,
Kecoh pukul 2 pagi. Tapi rakyat Malaysia tetap tenang handle situasi.,"Dari crew cabin sampai penumpang, semua chill! Betul ‘Malaysia, truly Asia’😂",,Sumber: Thread stephaniephang__
"Thank You PMX kerana telah menggunakan platform IC untuk pemberian subsidi Petrol & Diesel.
Ia bukan sahaja dapat menurunkan kos subsidi, tapi menyedarkan diri manusia yang IC merah serta golongan yang tinggal di sempadan SG & Thailand.","Semoga lepas ini Hospital Kerajaan & Klinik kerajaan juga boleh buat benda sama, IC Merah perlu bayar harga Private untuk khidmat Kedoktoran. Jangan harap nak bayar RM1 lagi.",Malaysia Threads,
,From the residence above Pavillion mall :,Malaysia Threads,"The cons:
1) noise pollution
2) traffic congestion
3) business disruption
4) hotel inconvenience 
5) safety issues 
6) crowd control and women safety"
Kenapa ada segelintir orang Cina dan India tak mau berbahasa Malaysia di Malaysia? Apa sebab?  Curious je,,,
"isu yang membuatkan 1 malaysia berbalah , 🤌🏽 apa pendapat kalian????",,,
Boring betul gaduh dgn South korea nie 🙂‍↔️ Malaysia -indonesia gaduh pun tak seboring nie 🫩🥴,"Btw Kimchi asal Malaysia
Bibimbap asal indonesia",seablings,
"Pernah tak korang tengah lepak mamak, tiba-tiba member sebelah petik isu ni: ""Weyh, Malaysia ni kan negara pengeluar minyak? Bersepah pelantar minyak kat Terengganu, Sarawak tu. Tapi kenapa kita still kena import minyak luar? Kenapa harga minyak kita naik juga ikut harga dunia? Pakai jelah minyak sendiri, settle!""","​Bunyi macam logik, Tapi sebenarnya, realiti ekonomi dia tak semudah itu. Jom kita ""sembang kencang"" kenapa situasi ni berlaku.",Malaysia Threads,
Apa benda negara jiran kita ni ?,Tahu tak Indonesia benar kan ruang udara nya di guna kan AS untuk operasi ketenteraan,,Pada masa yang sama dia bahaya kan Malaysia jugak takut AS kaji sistem strategik Malaysia
Bersepah ya muka deni dalam drama d Malaysia,,,
"Bila baca posting Tya menantu Tok ti tanye kenapa live dia sendu ,sales pun drop.","Baca je komen ,kau akan nampak jujurnye rakyat malaysia ni dan yang pasti kau akan nampak besar betul kuasa dan pengaruh netizen dekat Malaysia ni.",,
"For chinese in Malaysia, how do you view your future in Malaysia in term of politic and economy? (Not racial). State the industry you are working in and your observation.",,Malaysia Chinese,
Kenapa korean punya roast dekat malaysia macam boring gila. Ke sebab diorang tak cukup experience jadi cyberbully haha.,,,
Menteri yang dulu bawak masuk rohingya kat malaysia ni memang SIAL. Sebab apa?,,,
"Lunch at Parlimen Malaysia. 
Guess the price of my lunch.",,Politik Malaysia,
HENTIKAN PEMBIAKAN WARGA KONOHA DI MALAYSIA,,,
Nasihat saya kepada adik2 di luar sana. Kalau boleh jgn ambik sektor Teknikal di Malaysia. Sangat sangat under appreciated.,"Masuk finance, economy, business or politics, nescaya income akan lebat dalam masa yg pendek.",,
"If WW3 happens, Malaysia lah yang akan paling terjejas because men here also need their princess treatment and perlukan provider nyah",,wargathreads,
Malam tadi saya telah diugut seorang anggota polis bernama Wan Syah untuk menumbuk muka saya hanya kerana saya menjalankan tugas sebagai peguam kepada perhimpunan aman Gerakan Anti Rumah Anutan Haram. Saya masih tidak faham kenapa perlunya ada intimidasi berbentuk ugutan sebegitu dalam era kerajaan Malaysia Madani. Laporan polis dah dibuat terhadap Wan Syah dan kita tunggu apa tindakan susulannya.,Sumber: zambri mohd isa,,Laki sape ni woiii!!
"Malaysia trully Asia, nanti diganyang meronta2 playing victim 😂",,Malaydesh,
"Brand Rempit Malaysia 🤡🇲🇾
• SVG
• Oakley
• Stoned&Co
• Hype
• High Cultured
• Drum
• New Era",,rempit,
I just nak tanya kaum india especially yang bijak pandai dan kaya:,"1. Korang pernah tak educate orang2 you jangan membina kuil atas  tanah orang sebab itu melanggar undang2, Ade tak? Or korang support je benda ni?
2. Korang ada tak tanah waqaf (hadiah) daripada orang yang ada tanah or dari org kaya? You guys ada tak benda ni. Or you all selfish just curi tanah orang.",Malaysia Threads,"Just macam pening, benda ni akan keep happening in 50 years kalau u tak educate kaum u."
"DLM TOILET MRT???
MRT PASAR SENI
HELLNAHH",,Malaysia Threads,
"To Pizza Hut Kepala Batas Penang, saya tak pasti ni arahan dari manager pizza hut or staff tu yang rela sendiri. bila di tanya dgn staff tu why jual pizza tepi jalan x ada payung panas2 terik. dia senyum je & diam je. merah padam muka adik tu.",kot yer pon pasang la canopy kecil. terdesak sgt ke sampai meniaga tgh2 panas tu. pizza hut big company kot. byk cara lain utk buat jualan.,Pizza Hut Malaysia,even adk tu rela hati sklipon pon ttp X OK. x kecam pizza hut cuma kesian. aku beli ya. sbb kesian kt adk tu.
Siap kata demi Allah “siap PERANG dgn Malaysia” tu.,Sahabat-sahabat dari Indo ada yg tau gak ini siapa?,,Berani benar ya.
"Para artist Malaysia sekalian, drop ur art here jom",,Art Threads,
"Indian Malaysia ni,","Makin lama, makin putih aku tengok dieorang ni.",,
"Kau ambil degree sebab orang cakap ""ada demand.""","4 tahun kemudian, graduate, apply 100 tempat. Senyap.",,Akhirnya dapat kerja. Tapi lain bidang.
Inilah Malaysia Madani.,Walaupun kami 3 spesis berlainan tapi kami harmoni.,Life Threads,
Orang Malaysia memang jenis susah nak percaya orang. Aku perati je.,Lintas jalan one way pun tengok kiri kanan.,,
Why does the salary in Malaysia are damn low?,,,
kenapa org malaysia majority tak suka sultan johor? aku rasa kecewa skit sbb tu je la sultan negeri aku.Daulat Tuanku.,,,
Let me give you the world's largest flower.🌺malaysia Cameron highlands,,malaysia,
10 Platform Cari Kerja Paling Popular di Malaysia,"1. JobStreet -paling ramai pengguna di Malaysia
2. LinkedIn -Popular utk kerja professional
3. Indeed -Senang apply dan cepat
4. MyFutureJobs -Portal rasmi PERKESO
5. Maukerja -utk kerja entry-level & non-exec
6. Jora Jobs -banyak sumber job 
7. FastJobs -Pilihan utama utk part-time
8. Suruhanjaya Perkhidmatan Awam -untuk kerja kerajaan
9. Suruhanjaya Perkhidmatan Pendidikan -sektor pendidikan
10. Website rasmi syarikat -Cth: Petronas,Maybank",,
"Wahai stesen radio Malaysia, boleh tak kalian hentikan main lagu? Kami para pendengar sangat kecewa, sebab kami sebenarnya tak menanti lagu-lagu yang kalian putar. Kami hanya mahu dengar celoteh penyampai, gelak tawa yang tak berakar umbi, dan bual-bual kosong yang entah dari mana datangnya.",,,
Malaysian hospitality ialah cara kita membuat orang rasa diterima.,"Cara kita tanya, “Dah makan?”
Cara kita tunjuk jalan walaupun kita sendiri sedang sibuk.
Cara kita hulur bantuan bila nampak orang keliru.
Cara kita layan tetamu dengan rasa hormat, bukan sekadar formaliti.",,Itulah keramahan Malaysia yang sebenar.
Malaysia bila ada kes be like ;,"Perempuan kena bunuh “sebab tu jaga mulut, jangan keluar dengan lelaki bukan mahram” bla bla.",,"Isteri kena pukul “sebab tu kena taat, jangan melawan” bla bla."
"Congratulations to the Minister of Tourism Malaysia and Mb Sanusi for the huge crowd. We must unite to attract more tourists to our country. Malaysia is heading towards greater success,💪💪💪🤣",,ThreadMalaysia,
"Rain Rave Bukit Bintang BUKAN Budaya Malaysia. 
Saya gunakan platform yang saya ada untuk MENEMPELAK Tourism Malaysia atas penganjuran event ini.","Saya, sebagai pemain industri yang sentiasa mempromosikan industri pelancongan domestik, berasa JANGGAL dan JELEK dengan nilai tersurat & tersirat event ini.",,"*semoga thread ini mendapat perhatian pihak kementerian, untuk dibawa pada mesyuarat Post-Event Debrief nnti, supaya tidak lagi ada event seumpamanya di masa hadapan."
Malam ni Pesta Air 2026 katanya bertujuan merangsang ekonomi bandar dan menyokong peniaga kecil sempena Tahun Melawat Malaysia.,Menteri Pelancongan ni nak merangsang ekonomi ke merangsang nafsu anak muda?,,
"MALAYSIAN GIRLIES!!
Leave your best financial advice to girls/women in Malaysia so that we can all learn something together! I’ll go first:",,Malaysia Threads,
Nampak lah abang terlalu happy ye😆,#xtra #viral #beritaterkini #malaysia #makcikbawang,,Sumber: aizikri
"Ramai rakyat Malaysia, terutamanya orang muda, berminat nak kerja freelance.",Tetapi kebanyakan masih bergantung pada website luar macam Fiverr atau Upwork.,,Masalahnya:
"Hi Malaysia,","Are you stressed about the war?
Cause I am and idk what to do.",Malaysia Threads,"Sincerely,"
Sepatah dua kata untuk Event Rain Rave Festival 2026 dekat MALAYSIA?,,,
Malaysia copied a model that doesn’t even work in its own country.,"So this isn’t tourism strategy. 
It’s a contract dressed as one.",,"50,000 people at Bukit Bintang.
32 million Malaysians weren’t asked."
Nampak lah abang terlalu happy ye😆,#xtra #viral #beritaterkini #malaysia #makcikbawang,,Sumber: aizikri
Tahu kenapa ramai warga US sibuk datang Malaysia... buat review makanan.. dan cari support dari orang Malaysia?,"Dan ada yang buat video katanya, taknak balik ke US lagi dah.... memohon kita ni terima mereka untuk menetap di sini.",,
sy buat service untuk hantar org balik kg beraya,"kedah/penang/perlis - RM1000 
pahang/terengganu - RM1000 
kelantan - RM1200 
perak - RM300-700 
selangor/kl - RM100-RM250
n.9 n melaka - RM500
Johor bahru - RM1000
singapore- RM1500",,"harga diatas da termasuk tol dan hantar sampai rumah. disebabkn sy raya kl, n cuti awal, sy nk travel pusing malaysia tgk ntre. klau ade yg nk menggunakn khidmat. yg trlepas flight, trlepas bas pon bole contact. jika available lagi. 
hobi saya drive n travel. tq alls"
"Jangan tersilap lagi...
PRU nanti, nak sokong yang mana.",Hapuskan parti itu dari bumi malaysia,,
"Malaysia to Malaysia 
Kini di tangga Ke-3 Dunia🇲🇾",,passport,
What a beautiful day in Kuala Lumpur. I am so thankful that I found this city and it has become my home. 🙏,Working and then going to go explore.,malaysia,Have a great day!
stop normalize kan LGBTQ di Malaysia,,,
Kami berdua seringkali digandingkan dalam mana2 drama & telefilem suatu masa dulu.. beliau antara salah seorang rakan seni Kak Ros yang paling senang nak bekerjasama dalam menjayakan sesuatu naskhah. Salam Takziah Kak Ros ucapkan buat seluruh ahli keluarga Allahyarham Abdul Jalil bin Abdul Hamid (,,Malaysia Threads,") atas pemergian insan yang tersayang. Semoga roh arwah Jalil dicucuri rahmat, ditempatkan dalam kalangan orang-orang yang beriman dan diampunkan segala dosa-dosanya. Aaminn YRA 🤲🏻."
Malaysia bila nak ada Gojek. Cheaper and faster alternative compare to car.,,,
SOSIAL | ‘Tiba-tiba nama Umie Aida kena petik.’,"NAMA SUAMI: YM Syed Shah Iqmal Syed Mohd Shaiful Jamalullail
NAMA GLAMOR: Da’i Syed, Zayn Malik Malaysia
UMUR: 31 Tahun
NAMA ISTERI: Nurulhana Ismail
UMUR: 38 Tahun",DaiSyed,"KRONOLOGI CINTA
-Berkenalan selama dua minggu di sebuah majlis ilmu anjuran Datin Seri Umie Aida pada tahun 2022 di kediamannya.
-Syed terpikat dengan Hana namun sebagai agamawan yang faham hukum-hakam agama, dia mendekati Hana dengan bantuan Umie Aida."
This is where we make marine biologists in Malaysia 🌊,Audio is muted,Audio is muted,Audio is muted
"Sudah tiba masanya DAP ini diharamkan di Malaysia, kuang ajar dan berani nak langgar titah Sultan Selangor.",,MADANIbekerja,
"Mandarin is not an international language! aku kerja dekat Johor Bahru Malaysia, tapi rasa macam kerja dekat China. Diaorang ni jenis taknak keluar phone guna google translate. Bila kita minta cakap English, dia cakap “NO NO ENGLISH!!” sambil marah marah. Kita pulak nak kena belajar bahasa diaorang",,,
"First time traveling abroad alone.
Different country, different feelings, same dream.
Thank you Malaysia for being my first and such a great country 🇲🇾🔥",,,
"Negeri introvert kat malaysia ni ada dua je, perlis dan perak hahahaha",,,
"Malaysia’s had quite an eventful month: 
- Malaysian Ringgit strengthens
- Being gay is caused by work stress
- Spiderman injures himself after falling off Bukit Dinding",,,
"ada sape"" nak tahu takk the dark side of a famous clothing brand in Malaysia? 😝",,,
Kau nak tengok indonesia punya perangai keji kau tengok dekat tiktok.Punya la gampang eh diorang ini masuk malaysia menipu imigresen kata pergi bercuti rupanya kerja dekat sini 7 tahun kadang lebih 40 tahun duduk sini. Malaysia ini pulak bila musim pemutihan suruh diorang bayar denda je itu pun berapa sen je la.Itu belum dia cerita kami orang indonesia rapat dengan pegawai bayar seratus je mesti lepas punya. Betul diorang pandang hina je la malaysia ini.Ini nanti adalah konoha bodoh kata rasis.,,,
"Allahumma inni asaluka kerajaan Malaysia perketatkan syarat jadi warganegara Malaysia/PR Malaysia amin amin. Mana mana yang merentan tu gi jauh2, cari negara lain",,,
Baru faham kenapa orang malaysia ni ramai jadi Kpopers berbanding minat artis local,Artis kita ni perangai aneh aneh ( not all ),,
"Hello, aku india, India Malaysia lah bukan India dari india,tanya lah question apa ii berkaitan indian Malaysian,aku jawab,asalkan jgn type dlm bahasa Tamil,aku mmg x tau sbb aku SK (sekolah kebangsaan)",,Malaysia Threads,
Warga asing nie sebenarnya banyak telan hak warga negara Malaysia.,"Baik dari segi hospital, pengangkutan awam, bank, dan pelbagai urusan harian.",,
Privilege level in Malaysia 🇲🇾,"Tax payer: stuck in traffic
VIP escort: full lane cleared",Malaysia Threads,"Same road…
different experience."
ohh rupanya alumni finalist Miss World Malaysia 2023 macam mna dia confident join eh?💀dahlah bf dia pijak Al-Quran keji nya perbuatan pasangan ni! we not claim u as sarawakian even u from Sarawak!,,trending,
Ishowspeed coming to Malaysia - dia sendiri cakap dalam stream.,"Tolong la Kali ni, Sofyank or Khairul Aming lead him. Perkenalkan culture Malaysia.",,Yang last stream kat Malaysia memang memalukan.
"If Malaysia gets attacked, which state would be first?",,,
"Pendedahan file Epstein tu tak mengejutkan, kerana ada banyak kegiatan serupa itu yg berlaku di seluruh dunia, terutama dalam lodge2 satanic, saya tertanya juga apa aktiviti yg berlaku dalam lodge2 Freemason di Malaysia macam yg kat Bukit Jalil ni? Takkan meeting2 makan bihun je kot??",,Malaysia Threads,
"Guys, I will try my luck today for the concert ticket. I just need 1 ticket🥹🥹🥹",,5sos Malaysia,
"Hailey Bieber is every girl’s ultimate girl crush 😭
Love how secure she is 🥰",,Malaysia Threads,
Happynya baca indo taknak datang Malaysia. That what we want. We sick having so much indonesian in Malaysia already,,,
Info rasmi SNCC: seramai 10 rakyat Malaysia yg telah diculik oleh IOF. Lokasi mereka sehingga sekarang masih belum diketahui. Kita doakan sama-sama utk keselamatan mereka,,,
Malaysia nampak biasa… tapi sebenarnya negara ni rare gila 😳,,,
Kepada Kerajaan Malaysia,Saya cadangkan boleh ambil contoh negara jiran kita Indonesia.,,Motosikal diharamkan hampir semua highway disana.
Happynya baca indo taknak datang Malaysia. That what we want. We sick having so much indonesian in Malaysia already,,,
"Itulah bila YDPA suruh kuasai Bahasa Malaysia korang jugak sinis, anti dan perli.",Ini sekarang tanah wakaf  pun hangpa tak paham ingat tanah milik persendirian.,,Baghal.
Went to your Solaris branch & your employee asked for my personal number. I was asked where do I live & he wanted to meet me outside.,"Worst scenario, he waited to prepare my orders til I gave it to him. Tried to gave my fiance number but he asked me to message him first🥲 He even gave me Rose Tteopokki for free, I had no choice as I'm the only customer at that time. I'm beyond terrified as I was driving alone.",,"His name is Shofirul/Shoriful, please take action."
Semakin menggila rakyat Malaysia.. Kasihan mangsa-mangsa yg terlibat..,Kejadian di KLIA,,
"Semua benda nak mandarin speaker, aku duduk Malaysia ke duduk China sekarang ni??",,,
Nampak macam ramai Drs from oversea returning to malaysia. Especially those from uk/ireland. Is there a reason behind this?,,,
Halu pulis! Ini olang banyak lansi!  Polis Diraja Malaysia ( Royal Malaysia Police ),,,
Korang nak tak aku spill the tea artis mana? Awas yer artis2 Malaysia. You are nothing compare to TayTay.,Stop being kekwat to the fans!,Malaysia Threads,
Korang tau tak korang boleh dapat Certificate free disponsor oleh Kerajaan Malaysia?,Dan certificate ni boleh add ke LinkedIn korang tau!,,
Patutnya hijabis kat malaysia kena buh nama tutorial tudung letak nama malaysian style biar tak kena claim dengan konoha. Sibuk je pakai tudung style malaysian,,,
"Guys boleh recommend tak courses  Yang high demand kat Malaysia , sebab Ragu ii lagi nak isi upu niii🙃",,upu,
Korang nak tak aku spill the tea artis mana? Awas yer artis2 Malaysia. You are nothing compare to TayTay.,Stop being kekwat to the fans!,Malaysia Threads,
"Beli Kebab dekat Kepulauan Riau (Kepri). Walaupun di indonesia, tapi dekat daerah Tanjung Pinang ni Loghat diorang sama macam kita di Malaysia.",,,
Kenapa petugas pembersihan Masjidl Haram ni macam baik dengan orang Malaysia?,Cara dia sapa kita tu macam sangat raikan kita. Siapa tahu kenapa?,,
Korang ! Issue gajah kita di bawa ke Jepun bukan main2 tau. Tennoji Zoo sangat terkenal dengan pengabaian haiwan2  di zoo mereka & aku pelik kerajaan kita agree untuk hantar.,,Malaysia Threads,mereka ini mmg perangai macam fukimak ! Satu statement apa tak keluar.
"Kawan i ada cakap orang Korea ni racist bila dia jumpa orang tak cantik, kulit gelap. Sebelum i pergi Korea haritu: dia remind i cakap kat sana nnti mmg akan jumpa yg racist. “Tp i rasa you kulit putih mesti nnti kat imi lepas je.”","Pastu yes masa kat imi, sepatah soalan pun tak tanya! Also while kat Korea tak jumpa pun org sana yg racist. Siap ada uncle Korea berdiri tepi i: dia tanya orang mana, Malaysia ke? Sambil buat isyarat kat muka mcm: (u so pretty)",,So betul ke tak teori kawan i tu?
NEWS UPDATE : NRES beri kebenaran bawak DAK balik Malaysia..skg terpulang pada ZOO TAIPING NIGHT SAFARI utk bg kerjasama,Jom kita tekan zoo TAIPING pulak sampai diorg bg kerjasama bawak blek DAK ✊🏻,,LOUDER LG KORANG!!!!!!!📢
Malaysian 🇲🇾,,,
Negeri apa di Malaysia yang paling kelakar?,Melakakakakaka,,Ok sorry.
"Aku dpt kerja under mystep dkt jabatan ukur dan pemetaan malaysia dgn gaji RM 1,700,
Boleh hidup ke aku yg dah beristeri dgn gaji itu
Patut terima atau tak ???",,,
“Gaduh Malaysia - Indonesia ni macam gaduh adik - beradik je…”,"Masalahnya, kau siapa nak kata aku adik beradik Konoha ni?",,
"“Where are you from?”
“Malaysia”
“Ohhh so you speak Malay?”
“Yea”
“Then why you speaking English so well??”
“hmm because i learn that too?😭”
“So you speak Malay and English?”
“No, Mandarin and Cantonese too”
“Excuse me? How??”
“Because I am Chinese??🫨” 
“You are Chinese??” 
Oh well…guess what happen next",,,
"Adik- adik yang baru nak kerja or masuk kerja, meh abang Ridz nak share sikit. Please accept the offer (whatever sector lah)  as per below:","1. Min wages must be RM 1,700 per month bawah dari ni jgn accept.
2. Dan gaji RM 1,700 ni bukan kerja 12 jam. Dia mesti 8 jam (if 5hari) or 7.5 jam (if 6 hari) after that WAJIB bayar OT. or dalam erti kata lain seminggu kerja 45 jam, if you kerja 48jam per week,3 jam tu WAJIB bayar OT",Malaysia Threads,Ini basic things yang uols wajib tahu
"Nampak set crew Malaysia Airlines jalan nak lalu immigration, aku pun senyum la nak bagi salam. Belum sempat nak buka mulut, kapten dia cakap kat cabin crew sambil tunjuk kat aku, ""happy semacam mamat pinoi ni nak pergi kerja.""",Mabuhay,,
Sebenarnya nak start active balik in bidang lakonan and also tak ada manager for acting industry. Contact pun banyak hilang. So i just want to try my luck by post it here. Harap dipermudahkan 🤍☺️,,artist manager malaysia,
"I’m just curious. Those yang attended international or private school in Malaysia, where do they usually ended up eh?",,,
Malaysia Kekal Berprinsip!,8 warga Israel ditahan di KLIA ketika cuba menggunakan Malaysia sebagai laluan 'transit' sebelum ke Filipina.,,Alasan mereka: Nasihat Chatbot AI menjamin bahawa Malaysia sebagai laluan selamat.
Menggunakan 'visa spouse' tu kawen lelaki bujang ke duda... Aku harap bukan suami orglah. Aku sensitif sungguh bab ppuan foreigner kawen suami org Malaysia ni.,,,
Sebab ramai tnya nama2 MNC kat malaysia. Meh aku share a few yang aku tau and some of the benefits. Start dengan huruf A:,,,
"5 tempat kat Malaysia ni offer benda percuma , tapi ramai tak tahu!
	1.	Perpustakaan Negara KL
→ Ada bilik tidur, Netflix lounge, tempat kerja / belajar & wifi laju — semua PERCUMA.
	2.	Klinik Kesihatan (KKM)
→ Ujian darah, kolesterol, tekanan darah, kaunseling kesihatan → under RM5 atau PERCUMA.
	3.	KTM Komuter (Student Pass)
→ Bawah 30 tahun boleh mohon student rail pass → potongan hingga 50%.",,,
Hope one day 1SGD = 2MYR,mantap ah Malaysia,,
Padu laa sapa yang buat apps ni..,Dalam satu apps dia kumpulkan resepi2 dari Pempengaruh Malaysia😍😍,,Lepas ni dah tak payah nak salin ingredient dan step2 dalam video lagi dah.. dalam ni semua dah lengkap👍👍
"Kalau ni ade kat malaysia, memang musibat tanah sape yg amalkn. Umur 14 dah mengandung pale bana diaa.",,,
Kepada orang2 kaya Malaysia..Anda pernah didatangi geng ni tak? Maybe dgn alasan utk capai sesuatu? Nak tau gak..,,Malaysia Threads,
Korang kalau kecam aku bukan main kan celaka. Nowwww aku nak korang kecam zoo jepun ni! Depaa seksa gajah kitaaaaa!,pon tak function! Bring back our elephant!!,Malaysia Threads,!
"We couldn’t find a place to stay for a night in Terengganu because most of the hotels were fully booked and homestay owners preferred Muslims. However, this homestay owner accepted us for a night! Umi and her husband even invited us over for breakfast before we head back home 🫶🏻💗 it was a simple gesture but it meant so much!","In a world that can feel uncertain, moments like this remind us that genuine kindness still exists. Grateful for strangers who became a beautiful part of our journey. 💛",malaysia,
"Dear Malaysian women. Does anyone want a lavender marriage with me? You can keep the tax breaks, as I'm unemployed on a study break for ten years. Hit me up for shizzle. I'm financially independent, an expert housekeeper, and handy with tools.","This is a glorious shit post, but I'll consider all business proposals.",,Or you can turn this into a thread on why civil unions don't but should exist in Malaysia.
Korang tahu tak Negara Maju banyak yang dah tolak Data Centre baru dekat negara diorang. Itulah fungsi Negara Ketiga macam Malaysia ni.,,data centre,
"We don’t want murderer in Malaysia!
Free Palestine! 🇲🇾❤️🇵🇸",,,
It finally rained,#southeastasia #malaysia #malaysian #malaysians,,
"This is the story of JobTepi: 4 Malaysians that started JobTepi. Platform Freelance Malaysia yang sedang grow dengan super fast. Kita sekarang berada di chart no 32 in App Store, in less than a month! Beating sharks like Meta Ads, Fiverr and more.",,,
HAHHAHA why is it so expensive do we get to perform together with 5SOS? what is ticket fee and what is service fee? I remember I don't pay this much for Daniel Caesar though 😭💸,,5sos Malaysia,
admin zoo negara dah sahkan 🙂,,Zoo Negara Malaysia,
Terimakasy Malaysia 🙏🏼🙂‍↕️🇲🇾,,Audio is muted,Audio is muted
"Kuala Lumpur, what’s going on?! The emo trinity!","My Chemical Romance: Nov 19, 2026
Simple Plan: Nov 21, 2026
Evanescence: Nov 28, 2026",Malaysia Threads,“I’m not okay” + “I’m just a kid” + “Bring me to life” in the same week.
"Muslim business owners dekat Malaysia , let’s connect 🫡🇲🇾",,,
Macam mana korang dapat kerja under negara lain tapi still duduk dalam malaysia? Everything discuss online? Usually kerja bidang apa or company mana MNC ke yang buat macam ni? I teringin tapi penat dah apply. Tak ada yang sangkut 🥲,,KerjaKosong,
"Weh, kau tahu tak Malaysia baru buat benda yang satu ASEAN pun terkejut? 😭🔥",,ASEAN,
"Ramai cakap, ‘Kenapa nak panic? Malaysia bukan kena bom pun.’ Guys, can you think outside the box? It’s not just about war, global crisis affects economy, food supply, oil prices, everything. Not to scare you, but awareness and preparation matter.",,,
